host,avgRTT,packetLoss,latency,hopCount,bandwidth,yukOrani,gelenPaket,gidenPaket,psnr,ssim_first,ssim_second,kaynak,kayitboyut,kayip,kayip_orani,type,server
h1,309.101,0.0,88,4,10000000,7102.469879518072,4734,584771,35.794207,0.99428,22.426018,67209812,67371008,-161196,-0.239839980507608,3,h10
h2,261.666,0.0,86,3,10000000,6079.030927835051,4988,584678,34.942369,0.994672,22.734732,67209812,67371008,-161196,-0.239839980507608,3,h14
h3,222.84,0.0,48,2,10000000,12114.862595419849,991392,595655,34.867302,0.992167,21.060529,67209812,67108864,100948,0.1501983073542893,3,h14
h4,407.538,0.0,76,3,10000000,28303.55757575757,4059906,610181,25.520228,0.975302,16.073442,67209812,66060288,1149524,1.7103514588018789,3,h14
h5,623.33,0.0,97,4,10000000,39797.33668341709,7289944,629726,34.217854,0.991531,20.721932,67209812,67108864,100948,0.1501983073542893,3,h10
h7,527.895,0.0,92,4,10000000,47335.7339055794,10376098,653128,29.052167,0.981658,17.365564,67209812,66060288,1149524,1.7103514588018789,3,h10
h8,282.043,0.0,66,3,10000000,60751.520599250936,15525100,695556,25.61588,0.965131,14.575627,67209812,62914560,4295252,6.390810913144645,3,h10
h9,223.457,0.0,43,2,10000000,78202.73754152824,22792008,747016,25.813637,0.963911,14.426211,67209812,60293120,6916692,10.29119379176362,3,h10
h11,226.99,0.0,46,2,10000000,98384.35223880596,32151256,807502,21.703406,0.941976,12.363921,67209812,59244544,7965268,11.851346943211208,3,h10
h12,234.412,0.0,55,2,10000000,112377.60162601626,40690402,776933,26.819555,0.967624,14.897729,67209812,62914560,4295252,6.390810913144645,3,h14
h13,249.166,0.0,51,2,10000000,121048.89578163772,47960144,822561,25.487741,0.958752,13.845923,67209812,60293120,6916692,10.29119379176362,3,h14
h6,180.872,0.0,24,1,10000000,132770.7876712329,57271170,882435,21.095101,0.939921,12.212803,67209812,59506688,7703124,11.461308655349312,3,h14
h2,336.665,0.0,76,3,10000000,14915.882352941177,4860,1262990,26.94607,0.980969,17.205476,67209812,67371008,-161196,-0.239839980507608,3,h14
h3,314.332,0.0,101,4,10000000,12967.11224489796,4776,1266001,33.747984,0.990623,20.279586,67209812,67371008,-161196,-0.239839980507608,3,h10
h4,274.823,0.0,76,3,10000000,17220.083333333332,997984,1275067,32.441872,0.990224,20.098373,67209812,67108864,100948,0.1501983073542893,3,h10
h5,403.89,0.0,95,4,10000000,32308.319277108432,4073430,1289751,27.529598,0.97441,15.919233,67209812,65798144,1411668,2.1003897466637755,3,h10
