host,psnr,ssim_first,ssim_second,type,server
h1,31.235639,0.989438,19.762427,1.0,h14
h2,28.459433,0.977495,16.47724,1.0,h14
h3,24.837173,0.963479,14.374588,1.0,h14
h4,24.141326,0.956197,13.584935,1.0,h14
h5,24.690758,0.955428,13.509409,1.0,h14
h6,20.95898,0.938148,12.086429,1.0,h14
h1,30.457329,0.983935,17.941281,1.0,h14
h2,29.554306,0.982534,17.577952,1.0,h14
h3,24.251004,0.958212,13.789518,1.0,h14
h4,22.90569,0.952477,13.230954,1.0,h14
h5,24.843969,0.953759,13.349759,1.0,h14
h6,20.869455,0.936852,11.996387,1.0,h14
h1,35.364894,0.994183,22.353209,1.0,h14
h2,30.336226,0.98486,18.19867,1.0,h14
h3,24.092774,0.962196,14.224572,1.0,h14
h4,24.96005,0.957134,13.678841,1.0,h14
h5,25.583809,0.961565,14.152675,1.0,h14
h6,24.933232,0.95701,13.666278,1.0,h14
h1,34.764279,0.992532,21.267717,1.0,h14
h2,31.309748,0.986201,18.601469,1.0,h14
h3,26.277576,0.968513,15.018643,1.0,h14
h4,24.889746,0.957731,13.739769,1.0,h14
h5,25.488985,0.959249,13.898657,1.0,h14
h6,21.453272,0.939282,12.166804,1.0,h14
h1,34.030972,0.993416,21.814873,1.0,h10
h2,29.359225,0.983382,17.794161,1.0,h10
h3,27.02732,0.974922,16.007059,1.0,h10
h4,23.078175,0.953992,13.371634,1.0,h10
h5,20.741993,0.946255,12.69663,1.0,h10
h6,23.711012,0.952368,13.221041,1.0,h10
h1,32.638525,0.991745,20.83271,1.0,h10
h2,30.784554,0.98603,18.547978,1.0,h10
h3,28.125528,0.975482,16.105192,1.0,h10
h4,25.743007,0.96612,14.700554,1.0,h10
h5,25.847726,0.964081,14.446742,1.0,h10
h6,21.186707,0.940549,12.258427,1.0,h10
h1,33.29701,0.991761,20.84124,1.0,h10
h2,30.73915,0.983174,17.740167,1.0,h10
h3,23.837577,0.962567,14.267491,1.0,h10
h4,24.199483,0.95461,13.430405,1.0,h10
h5,23.863745,0.951283,13.123197,1.0,h10
h6,20.593288,0.932081,11.680114,1.0,h10
h1,33.499065,0.991408,20.659035,1.0,h10
h2,23.465941,0.903046,10.134339,1.0,h10
h3,24.890314,0.963366,14.361195,1.0,h10
h4,24.30108,0.958015,13.76907,1.0,h10
h5,24.890288,0.957756,13.742396,1.0,h10
h6,24.520861,0.951876,13.176344,1.0,h10
