host,avgRTT,packetLoss,latency,hopCount,bandwidth,psnr,ssim_first,ssim_second,kaynak,kayitboyut,kayip,kayip_orani,type,server,real_mos
75,4.0,10000000.0,31.961797,0.985717,18.451736,67209812.0,67371008.0,-161196.0,-0.239839980507608,1,h10,,,,
87,4.0,10000000.0,24.008528,0.945897,12.667787,67209812.0,66060288.0,1149524.0,1.7103514588018789,1,h10,,,,
101,5.0,10000000.0,21.008091,0.886787,9.461035,67209812.0,62390272.0,4819540.0,7.170887488868441,1,h10,,,,
63,3.0,10000000.0,18.716508,0.827955,7.643567,67209812.0,56098816.0,11110996.0,16.53180639755398,1,h10,,,,
63,4.0,10000000.0,16.372364,0.792841,6.836966,67209812.0,51380224.0,15829588.0,23.55249557906813,1,h10,,,,
76,5.0,10000000.0,16.166816,0.767157,6.329362,67209812.0,47972352.0,19237460.0,28.622993321272794,1,h10,,,,
65,3.0,10000000.0,16.077204,0.748571,5.995849,67209812.0,45350912.0,21858900.0,32.52337619989177,1,h10,,,,
47,2.0,10000000.0,16.317234,0.739895,5.848521,67209812.0,42991616.0,24218196.0,36.03372079064884,1,h10,,,,
45,2.0,10000000.0,16.298696,0.728839,5.667727,67209812.0,40632320.0,26577492.0,39.54406538140592,1,h10,,,,
61,3.0,10000000.0,16.714222,0.720046,5.52913,67209812.0,38010880.0,29198932.0,43.44444826002489,1,h10,,,,
49,2.0,10000000.0,15.84341,0.706072,5.317595,67209812.0,36175872.0,31033940.0,46.17471627505817,1,h10,,,,
62,3.0,10000000.0,15.111779,0.686461,5.037086,67209812.0,34603008.0,32606804.0,48.51494600222955,1,h10,,,,
80,5.0,10000000.0,32.467559,0.986458,18.683199,67209812.0,67371008.0,-161196.0,-0.239839980507608,1,h10,,,,
54,4.0,10000000.0,24.052615,0.949162,12.938112,67209812.0,66060288.0,1149524.0,1.7103514588018789,1,h10,,,,
72,5.0,10000000.0,19.807159,0.876926,9.098342,67209812.0,62390272.0,4819540.0,7.170887488868441,1,h10,,,,
50,4.0,10000000.0,18.439344,0.828376,7.654221,67209812.0,56360960.0,10848852.0,16.14176810969208,1,h10,,,,
74,5.0,10000000.0,17.163509,0.796261,6.909267,67209812.0,51118080.0,16091732.0,23.942533866930024,1,h10,,,,
80,3.0,10000000.0,15.955914,0.762887,6.25044,67209812.0,47972352.0,19237460.0,28.622993321272794,1,h10,,,,
52,2.0,10000000.0,16.234913,0.745251,5.938874,67209812.0,45350912.0,21858900.0,32.52337619989177,1,h10,,,,
54,2.0,10000000.0,16.144137,0.734791,5.764112,67209812.0,42991616.0,24218196.0,36.03372079064884,1,h10,,,,
28,3.0,10000000.0,15.97329,0.725051,5.60748,67209812.0,40632320.0,26577492.0,39.54406538140592,1,h10,,,,
28,2.0,10000000.0,15.81704,0.711668,5.401071,67209812.0,38010880.0,29198932.0,43.44444826002489,1,h10,,,,
78,5.0,10000000.0,15.673081,0.706435,5.322961,67209812.0,36175872.0,31033940.0,46.17471627505817,1,h10,,,,
28,3.0,10000000.0,15.614675,0.692776,5.125452,67209812.0,34603008.0,32606804.0,48.51494600222955,1,h10,,,,
86,4.0,10000000.0,32.857467,0.989101,19.626083,67209812.0,67371008.0,-161196.0,-0.239839980507608,1,h10,,,,
69,3.0,10000000.0,24.127667,0.945261,12.617005,67209812.0,65798144.0,1411668.0,2.1003897466637755,1,h10,,,,
87,4.0,10000000.0,19.850983,0.878934,9.169792,67209812.0,62390272.0,4819540.0,7.170887488868441,1,h10,,,,
96,4.0,10000000.0,17.213136,0.820532,7.460118,67209812.0,56098816.0,11110996.0,16.53180639755398,1,h10,,,,
66,3.0,10000000.0,18.178033,0.800638,7.003586,67209812.0,51118080.0,16091732.0,23.942533866930024,1,h10,,,,
47,2.0,10000000.0,16.121006,0.768637,6.357062,67209812.0,47972352.0,19237460.0,28.622993321272794,1,h10,,,,
46,2.0,10000000.0,15.954647,0.743537,5.909757,67209812.0,45350912.0,21858900.0,32.52337619989177,1,h10,,,,
65,3.0,10000000.0,16.082899,0.733412,5.741599,67209812.0,42729472.0,24480340.0,36.423759078510734,1,h10,,,,
43,2.0,10000000.0,17.038347,0.735476,5.775357,67209812.0,40894464.0,26315348.0,39.154027093544016,1,h10,,,,
94,4.0,10000000.0,16.247713,0.716559,5.475374,67209812.0,38010880.0,29198932.0,43.44444826002489,1,h10,,,,
97,4.0,10000000.0,15.767102,0.702972,5.272031,67209812.0,36175872.0,31033940.0,46.17471627505817,1,h10,,,,
64,3.0,10000000.0,15.15853,0.682844,4.987273,67209812.0,34603008.0,32606804.0,48.51494600222955,1,h10,,,,
75,3.0,10000000.0,33.262472,0.990235,20.103377,67209812.0,67371008.0,-161196.0,-0.239839980507608,1,h10,,,,
100,4.0,10000000.0,20.773614,0.924606,11.226638,67209812.0,65798144.0,1411668.0,2.1003897466637755,1,h10,,,,
87,4.0,10000000.0,20.726285,0.884329,9.367769,67209812.0,62390272.0,4819540.0,7.170887488868441,1,h10,,,,
69,3.0,10000000.0,18.080224,0.828254,7.65113,67209812.0,56098816.0,11110996.0,16.53180639755398,1,h10,,,,
53,2.0,10000000.0,16.695728,0.785894,6.693704,67209812.0,51118080.0,16091732.0,23.942533866930024,1,h10,,,,
50,2.0,10000000.0,15.912527,0.764539,6.280809,67209812.0,47972352.0,19237460.0,28.622993321272794,1,h10,,,,
