host,avgRTT,packetLoss,latency,hopCount,bandwidth,psnr,ssim_first,ssim_second,kaynak,kayitboyut,kayip,kayip_orani,type,server,real_mos
h1,1325.337,0.0,163,3,10000000,30.701194,0.979382,16.85745,67209812,67108864,100948,0.1501983073542893,1,h14,4
h2,1334.002,0.0,161,3,10000000,22.129213,0.915509,10.731871,67209812,64749568,2460244,3.660542898111365,1,h14,3
h3,1458.95,0.0,33,2,10000000,19.100253,0.836428,7.862913,67209812,60293120,6916692,10.29119379176362,1,h14,2
h4,,100.0,60,3,10000000,16.668925,0.761318,6.221805,67209812,53215232,13994580,20.822227564034847,1,h14,2
h5,1344.721,0.0,40,2,10000000,15.179559,0.718499,5.505194,67209812,47710208,19499604,29.01303160913469,1,h14,2
h7,1301.54,0.0,66,3,10000000,15.157364,0.681523,4.969223,67209812,43778048,23431764,34.863605927063155,1,h14,2
h8,1156.843,0.0,55,2,10000000,14.749077,0.668057,4.789359,67209812,40632320,26577492,39.54406538140592,1,h14,2
h9,1344.669,0.0,80,4,10000000,15.122801,0.653567,4.603804,67209812,37748736,29461076,43.83448654788678,1,h14,2
h11,1103.881,0.0,26,1,10000000,14.896708,0.638424,4.418005,67209812,35127296,32082516,47.73486942650576,1,h14,2
h12,1272.867,0.0,55,2,10000000,14.285512,0.630821,4.32763,67209812,32768000,34441812,51.24521401726284,1,h14,2
h13,1184.859,0.0,40,2,10000000,14.25612,0.621933,4.224316,67209812,30670848,36538964,54.36552032015801,1,h14,2
h6,1115.102,0.0,20,1,10000000,14.416184,0.62582,4.2692,67209812,29097984,38111828,56.7057500473294,1,h14,2
h21,1202.288,0.0,59,3,10000000,14.153244,0.614983,4.145206,67209812,27525120,39684692,59.04597977450078,1,h14,2
h22,1156.654,0.0,82,4,10000000,14.614987,0.624364,4.252334,67209812,25952256,41257556,61.38620950167216,1,h14,2
h23,900.899,0.0,42,2,10000000,14.414606,0.623838,4.24625,67209812,24903680,42306132,62.94636265311976,1,h14,2
h2,1260.327,0.0,124,3,10000000,31.046118,0.983139,17.731231,67209812,67108864,100948,0.1501983073542893,1,h14,4
h3,1100.205,0.0,104,2,10000000,22.929518,0.922938,11.131617,67209812,65011712,2198100,3.270504610249468,1,h14,3
h4,,100.0,146,3,10000000,18.883589,0.843842,8.064366,67209812,60817408,6392404,9.511117216039825,1,h14,2
h5,292.946,0.0,103,2,10000000,16.930518,0.781922,6.613872,67209812,54001664,13208148,19.652112700449152,1,h14,2
h7,730.572,0.0,155,3,10000000,15.465635,0.734526,5.759777,67209812,48234496,18975316,28.232955033410896,1,h14,2
h8,1160.754,0.0,137,2,10000000,16.117556,0.712043,5.406722,67209812,44302336,22907476,34.08352935133935,1,h14,2
