host,avgRTT,packetLoss,latency,hopCount,bandwidth,psnr,ssim_first,ssim_second,kaynak,kayitboyut,kayip,kayip_orani,h10gelen,h10giden,h10toplam,h14gelen,h14giden,h14toplam,type,server,tahmin_mos,real_mos
h7,258.305,0.0,64,3,10000000,32.497785,0.987272,18.95224,67209812,67371008,-161196,0.0,9746,1041430,1051176,9774,1046860,1056634,6,h14,0,4
h8,221.283,0.0,40,2,10000000,25.858796,0.963395,14.364558,67209812,66322432,887380,1.5601531514475893,10698,1047640,2109514,1917520,1058092,4032246,6,h14,[4.30576841],4
h9,280.149,0.0,62,3,10000000,21.589305,0.918842,10.906686,67209812,63963136,3246676,5.070497742204665,11664,1055366,3176544,5922754,1077567,11032567,6,h14,[4.01532466],3
h11,215.956,0.0,45,2,10000000,36.507699,0.996039,24.022245,67209812,67371008,-161196,0.0,12630,1066302,4255476,11962986,1106125,24101678,6,h10,[3.97113222],5
h12,331.428,0.0,65,3,10000000,34.859543,0.994015,22.229087,67209812,67108864,100948,0.3900382878618973,1420026,1083418,6758920,18242840,1136073,43480591,6,h10,[3.89867304],5
h13,362.006,0.0,50,2,10000000,26.456587,0.979742,16.934075,67209812,66322432,887380,1.5601531514475893,4942406,1113736,12815062,24545242,1170211,69196044,6,h10,[3.78352905],4
h21,1387.443,0.0,72,3,10000000,19.207339,0.879303,9.183023,67209812,59244544,7965268,12.091186923718816,10578808,1149972,24543842,30889408,1200929,101286381,6,h14,[3.8077107],2
h22,1233.474,0.0,64,3,10000000,19.306582,0.865745,8.720692,67209812,54788096,12421716,18.72183781737107,16871860,1188926,42604628,39075712,1238475,141600568,6,h14,[3.75064531],2
h23,1300.515,0.0,50,2,10000000,17.475392,0.840159,7.963116,67209812,52166656,15043156,22.622220695990045,23166730,1233560,67004918,49323194,1286095,192209857,6,h14,[3.63189341],2
h1,1280.86,0.0,72,3,10000000,17.330431,0.826014,7.594864,67209812,50331648,16878164,25.352488711023323,29457964,1287948,97750830,61750518,1342793,255303168,6,h14,[3.14276714],2
h2,1128.301,0.0,64,3,10000000,17.090824,0.815424,7.338249,67209812,48758784,18451028,27.692718438194703,35701000,1351618,134803448,76227394,1408871,332939433,6,h14,[2.99215843],2
h3,1132.285,0.0,50,2,10000000,17.087473,0.810875,7.232505,67209812,47185920,20023892,30.03294816536609,42045886,1424500,178273834,92818828,1485594,427243855,6,h14,[2.91272625],2
h4,469.224,0.0,79,3,10000000,26.333471,0.975684,16.141056,67209812,63700992,3508820,5.460536030066562,48285286,1501346,228060466,111296388,1562509,540102752,6,h10,[2.93203285],4
h5,950.303,0.0,49,2,10000000,17.017543,0.80172,7.027207,67209812,45613056,21596756,32.37317789253748,55987192,1598844,285646502,129967726,1647809,671718287,6,h14,[2.70737855],2
h6,447.831,0.0,74,3,10000000,27.535345,0.976886,16.361302,67209812,61341696,5868116,8.970880620823637,64324790,1704934,351676226,149110160,1737873,822566320,6,h10,[2.79938175],4
h8,206.075,0.0,43,2,10000000,33.251989,0.989242,19.682822,67209812,67371008,-161196,0.0,9774,1045740,1055514,9748,1092372,1102120,6,h14,0,4
h9,259.368,0.0,66,3,10000000,26.168077,0.965829,14.663364,67209812,66584576,625236,1.170114863585692,10656,1053172,2119342,1932920,1107041,4142081,6,h14,[4.27909786],4
h11,211.584,0.0,47,2,10000000,36.532683,0.996106,24.095702,67209812,67371008,-161196,0.0,11622,1055330,3186294,5870358,1126983,11139422,6,h10,[3.91626174],5
h12,272.517,0.0,68,3,10000000,34.493935,0.99353,21.890847,67209812,67108864,100948,0.3900382878618973,1436296,1063070,5685660,10108376,1147411,22395209,6,h10,[3.93036056],5
h13,239.387,0.0,50,2,10000000,30.944561,0.987117,18.899729,67209812,66584576,625236,1.170114863585692,4954850,1080680,11721190,14272560,1160511,37828280,6,h10,[3.79724627],4
h21,1180.141,0.0,74,3,10000000,22.840018,0.92959,11.523634,67209812,63963136,3246676,5.070497742204665,10579618,1112206,23413014,18518314,1177194,57523788,6,h14,[3.96281412],3
h22,1276.576,0.0,62,3,10000000,18.765035,0.876369,9.07872,67209812,59244544,7965268,12.091186923718816,16870852,1148969,41432835,24582114,1205578,83311480,6,h14,[3.86516333],2
h23,1310.036,0.0,49,2,10000000,18.664023,0.852877,8.323188,67209812,54525952,12683860,19.11187610523297,23163904,1194620,65791359,32771960,1243586,117327026,6,h14,[3.66920566],2
h1,1296.548,0.0,74,3,10000000,17.381916,0.839854,7.954844,67209812,52166656,15043156,22.622220695990045,29456956,1248458,96496773,43067252,1291122,161685400,6,h14,[3.43736605],2
h2,1130.676,0.0,62,3,10000000,17.292535,0.828354,7.653658,67209812,50593792,16616020,24.962450423161428,35699992,1311936,133508701,55431420,1347978,218464798,6,h14,[3.31173423],2
h3,1093.004,0.0,49,2,10000000,17.055465,0.815016,7.328649,67209812,48758784,18451028,27.692718438194703,41993044,1384966,176886711,69896492,1414186,289775476,6,h14,[3.04455272],2
h4,257.945,0.0,73,3,10000000,27.719478,0.978545,16.684777,67209812,63700992,3508820,5.460536030066562,48284348,1467144,226638203,86456462,1488636,377720574,6,h10,[2.82222679],4
h5,1130.158,0.0,50,2,10000000,17.022101,0.807494,7.155552,67209812,47185920,20023892,30.03294816536609,55986254,1555894,284180351,103176800,1561512,482458886,6,h14,[2.90273378],2
h7,853.634,0.0,69,3,10000000,17.139556,0.800622,7.003233,67209812,45875200,21334612,31.983139604675586,64445780,1655832,350281963,121914490,1645525,606018901,6,h14,[2.55712347],2
h6,411.078,0.0,72,3,10000000,24.513531,0.968939,15.077812,67209812,61341696,5868116,8.970880620823637,72708666,1760550,424751179,140796026,1735141,748550068,6,h10,[2.71481415],4
h9,255.685,0.0,73,3,10000000,33.090273,0.988653,19.451162,67209812,67371008,-161196,0.0,9830,485473,495303,10004,478997,489001,6,h14,0,4
h11,155.958,0.0,26,1,10000000,26.718831,0.968381,15.000525,67209812,66322432,887380,1.5601531514475893,10782,490990,997075,1902130,490740,2881871,6,h14,[4.29936171],4
h12,483.641,0.0,71,3,10000000,37.969849,0.997472,25.972684,67209812,67371008,-161196,0.0,11748,492956,1501779,5902872,510058,9294801,6,h10,[4.00921355],5
h13,462.532,0.0,51,2,10000000,22.116971,0.914747,10.692878,67209812,63700992,3508820,5.460536030066562,1419750,500496,3422025,10077210,530416,19902427,6,h14,[3.84593733],3
h21,1438.583,0.0,68,3,10000000,19.249863,0.861143,8.574336,67209812,57933824,9275988,14.041378363028304,3535356,512094,7469475,16231356,559832,36693615,6,h14,[3.81927342],2
h22,1321.391,0.0,67,3,10000000,17.025756,0.822518,7.50846,67209812,52953088,14256724,21.45210583240436,5633684,702781,13805940,24407644,938124,62039383,6,h14,[3.8248317],2
h23,332.801,0.0,94,4,10000000,37.110759,0.996327,24.349517,67209812,67371008,-161196,0.0,7732082,5223151,26761173,34640070,5730558,102410011,6,h10,[3.88938155],5
h1,1339.856,0.0,68,3,10000000,16.787574,0.806826,7.140506,67209812,50331648,16878164,25.352488711023323,11254724,14328395,52344292,45155904,15092379,162658294,6,h14,[3.62663638],2
h2,1290.536,0.0,67,3,10000000,16.959547,0.793334,6.847308,67209812,48234496,18975316,28.472795013918507,15445650,27968447,95758389,57532262,28992418,249182974,6,h14,[3.33949491],2
h3,1186.17,0.0,47,2,10000000,16.759932,0.78069,6.589412,67209812,46137344,21072468,31.593101316813684,19641340,46189997,161589726,72075994,47461840,368720808,6,h14,[3.0558987],2
h4,263.251,0.0,70,3,10000000,34.395884,0.992618,21.318255,67209812,67108864,100948,0.3900382878618973,23806026,69043655,254439407,88553156,70691513,527965477,6,h10,[2.79016807],5
h5,1256.587,0.0,51,2,10000000,16.337651,0.761961,6.233522,67209812,44302336,22907476,34.32336933184696,29409964,96375515,380224886,105322948,98241480,731529905,6,h14,[2.72693487],2
h7,1051.921,0.0,78,3,10000000,16.729749,0.754465,6.098864,67209812,41943040,25266772,37.83371392260404,35661586,127824077,543710549,123715320,129939922,985185147,6,h14,[2.47227595],2
h8,399.518,0.0,78,3,10000000,32.005948,0.986693,18.759051,67209812,65011712,2198100,3.510344590757076,41996068,163494916,749201533,143090556,166198388,1294474091,6,h10,[2.58410121],4
h6,1229.562,0.0,26,1,10000000,16.529616,0.74994,6.019553,67209812,40370176,26839636,40.173943649775424,49643410,203509436,1002354379,162417260,206372032,1663263383,6,h14,[2.52218675],2
h11,153.268,0.0,14,1,10000000,35.441523,0.994367,22.492819,67209812,67371008,-161196,0.0,9956,1939953,1949909,9832,1722223,1732055,6,h14,0,5
