host,avgRTT,latency,hopCount,bandwidth,yukOrani,predict_ssim,target_ssim,server
h1,256.638,68,3,3000000,13778.041666666666,0.9775815140744752,0.964487,h14
h2,253.167,71,3,3000000,7468.022388059701,0.9846269906579304,0.904281,h14
h3,204.66,45,2,3000000,5147.892307692307,0.9884793120890496,0.788907,h14
h4,254.173,82,3,3000000,3148.67578125,0.9854502934309044,0.999765,h10
h5,202.136,43,2,3000000,3201.01261829653,0.98908144926552,0.728617,h14
h6,254.071,67,3,3000000,2157.190981432361,0.9795142157626116,0.999764,h10
h2,255.388,64,3,3000000,8340.818181818182,0.978546453347504,0.975295,h14
h3,204.717,52,2,3000000,4684.776978417266,0.9861750841833224,0.874785,h14
h4,255.653,80,3,3000000,3839.655,0.9854527534309044,0.999765,h10
h5,201.964,56,2,3000000,2535.2835249042146,0.9852769773579254,0.790116,h14
h1,254.177,71,3,3000000,2066.003105590062,0.985203088501068,0.723605,h14
h6,253.33,83,3,3000000,2040.514360313316,0.9854537545420156,0.999765,h10
h3,206.387,48,2,3000000,16374.866666666669,0.9800730377345328,0.97265,h14
h4,253.468,84,3,3000000,7877.132352941177,0.9842154901837268,0.999765,h10
h5,204.466,49,2,3000000,6290.274111675127,0.9864085657182512,0.905533,h14
h1,252.81,74,3,3000000,4829.957364341085,0.9854244440566232,0.789981,h14
h2,257.24,73,3,3000000,3917.689655172414,0.9832296140566236,0.723389,h14
h6,253.133,78,3,3000000,2862.5052631578947,0.9856220101941896,0.999765,h10
h4,358.221,54,4,3000000,17478.477777777778,0.9588729707114372,0.90384,h14
h5,205.264,162,2,3000000,10416.78947368421,0.9623608549348364,0.68136,h14
h1,253.572,77,3,3000000,7445.615023474178,0.985045912351052,0.618498,h14
h2,255.366,83,3,3000000,5819.178832116789,0.985030432254434,0.570934,h14
h3,204.522,54,2,3000000,4770.355223880597,0.9859427621833224,0.551476,h14
h6,156.715,27,1,3000000,4042.002525252525,0.9713038401640344,0.544452,h14
h4,256.454,44,3,3000000,8851.278481012658,0.9806674110359842,0.999765,h10
h5,203.154,50,2,3000000,6056.078014184397,0.9866499457182514,0.964743,h14
h1,256.692,81,3,3000000,4241.341584158416,0.9854527534309044,0.89281,h14
h2,258.297,82,3,3000000,3283.8783269961978,0.9850385714309046,0.78275,h14
h3,216.267,55,2,3000000,2677.203703703704,0.985468126186246,0.718623,h14
h6,256.532,74,3,3000000,1878.1064935064933,0.9854303651677344,0.999765,h10
h5,205.938,32,2,3000000,10320.54054054054,0.959657423662346,0.911508,h14
h1,288.749,61,3,3000000,5712.555555555556,0.983112962765263,0.760949,h14
h2,255.462,66,3,3000000,3950.607142857143,0.9846297063892456,0.65488,h14
h3,203.769,46,2,3000000,3023.6937984496126,0.9875675023570234,0.657464,h14
h4,254.056,78,3,3000000,2457.4827586206898,0.9856220101941896,0.649741,h14
h6,252.336,77,3,3000000,2074.534210526316,0.9856220101941896,0.999765,h10
h1,290.421,59,3,3000000,28960.75641025641,0.9693267771891884,0.918923,h14
h2,254.264,47,3,3000000,16195.935714285712,0.978260514726286,0.720426,h14
h3,204.26,41,2,3000000,11294.203980099504,0.9803877895484492,0.615536,h14
h4,255.518,89,3,3000000,8733.461832061068,0.9800734549561192,0.999765,h10
h5,203.227,40,2,3000000,7059.795665634675,0.9870781760890496,0.608002,h14
h6,258.104,89,3,3000000,5974.856770833333,0.9841412898782084,0.999765,h10
h7,254.851,64,3,3000000,5135.824719101123,0.9842049252127753,0.553329,h14
h8,201.674,46,2,3000000,4522.719367588933,0.9875614412459124,0.550544,h14
h4,255.934,74,3,3000000,5819.53164556962,0.9850045828801528,0.892325,h14
h5,206.768,53,2,3000000,3444.9142857142856,0.9861776841833224,0.652229,h14
h6,253.84,70,3,3000000,2479.10447761194,0.9852154942702984,0.999765,h10
h7,254.378,73,3,3000000,1979.431297709924,0.9854279051677344,0.539443,h14
h8,203.052,47,2,3000000,1658.708978328173,0.9875675023570234,0.544499,h14
h1,254.643,75,3,3000000,1436.6744791666667,0.9849982493344012,0.515715,h14
h2,261.304,72,3,3000000,1276.676404494382,0.9829363761677348,0.549322,h14
h3,201.691,51,2,3000000,1155.6699604743085,0.9860336280217062,0.538398,h14
h1,258.145,75,3,3000000,11737.794520547945,0.9729734496736816,0.915206,h14
h2,256.606,74,3,3000000,6408.85925925926,0.9850045828801528,0.691417,h14
h3,204.592,49,2,3000000,4430.918367346939,0.9870632088947218,0.617858,h14
h4,255.622,68,3,3000000,2794.1789883268484,0.98516346798772,0.999765,h10
h5,202.934,50,2,3000000,2764.317610062893,0.987310650005833,0.618631,h14
h6,151.089,23,1,3000000,2326.166226912929,0.97951416415709,0.570623,h14
h7,257.548,74,3,3000000,2009.661363636364,0.9832330751677348,0.544622,h14
h4,254.619,77,3,3000000,1444.945205479452,0.9856220101941896,0.905159,h14
h5,206.34,50,2,3000000,835.8805970149253,0.9871528700058332,0.725031,h14
h6,252.481,71,3,3000000,604.1794871794872,0.985044928501068,0.999765,h10
h7,253.69,75,3,3000000,469.73046875,0.9848303893344011,0.627715,h14
h1,256.719,70,3,3000000,390.9558359621451,0.9848910742702986,0.615698,h14
h2,288.93,70,3,3000000,334.6481481481481,0.9809527567220856,0.581605,h14
h3,201.951,48,2,3000000,294.30751708428244,0.9867203752141664,0.546305,h14
h4,265.109,60,3,3000000,15724.987804878048,0.9730147562105296,0.999765,h14
h5,218.195,40,2,3000000,9085.587412587412,0.9829403851820758,0.999453,h14
h6,255.212,77,3,3000000,5072.161764705882,0.9856185490830784,0.999765,h10
h1,361.184,108,5,3000000,16716.64935064935,0.9655008692975916,0.999765,h10
h2,257.482,57,3,3000000,9157.369565217392,0.9755889356799768,0.999765,h14
h6,251.769,75,3,3000000,6530.271356783919,0.9845724670468194,0.999765,h10
h1,254.579,73,3,3000000,16032.444444444443,0.9766019651636442,0.983952,h14
h2,255.83,78,3,3000000,8743.165413533834,0.9806198579845186,0.953972,h14
h3,201.766,53,2,3000000,6009.768041237114,0.9855204410068518,0.959723,h14
h4,252.889,81,3,3000000,3446.996078431373,0.9854502934309044,0.999765,h10
h5,204.964,49,2,3000000,1221.0632911392406,0.986911480005833,0.999765,h14
h6,255.526,75,3,3000000,593.6214285714286,0.9848425493344014,0.999765,h10
h3,202.348,43,2,3000000,545.726368159204,0.9886002503766314,0.999765,h14
h4,253.215,78,3,3000000,361.7022900763359,0.9854541501941896,0.999765,h10
h1,258.516,57,3,3000000,14493.67901234568,0.9748373771271964,0.999765,h14
h2,259.826,207,3,3000000,8332.464788732394,0.9680481035231628,0.999685,h14
h1,360.534,114,5,3000000,2394.3658536585367,0.9851144653973856,0.999647,h10
h6,463.113,22,1,3000000,1635.0277777777778,0.9691593701642705,0.999765,h14
h1,344.77,112,4,3000000,8806.333333333334,0.9714727751937348,0.999765,h10
h2,254.657,67,3,3000000,8594.810126582279,0.9743957122347592,0.999765,h14
h3,202.878,37,2,3000000,6277.825,0.9846123260155202,0.910514,h14
h1,263.856,72,3,3000000,3615.205673758865,0.9829329150566236,0.711816,h14
h6,260.222,82,3,3000000,2484.539603960396,0.9832279505420156,0.999765,h10
h7,274.226,72,3,3000000,1971.190114068441,0.9825499111677348,0.620468,h14
h2,254.03,71,3,3000000,1605.4061538461538,0.985203088501068,0.6225,h14
h8,202.96,51,2,3000000,1358.3445595854923,0.9861926580217062,0.546769,h14
h5,201.194,50,2,3000000,1178.870246085011,0.987152860005833,0.547565,h14
h4,251.972,215,3,3000000,1022.7913385826772,0.9756181712149764,0.999765,h10
h8,256.218,99,3,3000000,13544.569620253164,0.9795639514250776,0.943464,h10
h3,366.781,115,6,3000000,7800.478571428572,0.9854225945844116,0.774165,h10
h7,253.228,81,3,3000000,5184.153465346535,0.9850279722544338,0.985029,h14
h2,254.049,64,3,3000000,4061.1406844106464,0.9846272463892456,0.955132,h14
h6,252.633,89,3,3000000,3532.9228395061727,0.984975333054679,0.653929,h10
h4,253.226,89,3,3000000,3013.6363636363635,0.98497879416579,0.658466,h10
h1,303.211,104,4,3000000,2636.461883408072,0.9700343920720578,0.656759,h10
h5,201.476,57,2,3000000,2232.662721893491,0.9852769773579254,0.96105,h14
h6,152.286,20,1,3000000,770.9466666666667,0.980911432432952,0.910557,h14
h4,255.049,70,3,3000000,480.9124087591241,0.9848886142702986,0.999765,h10
h7,253.264,81,3,3000000,349.3888888888889,0.9852858945420157,0.691533,h14
h1,271.556,88,3,3000000,294.12355212355214,0.9823872564795156,0.61843,h14
h5,202.115,60,2,3000000,248.9125,0.9847933106912587,0.626332,h14
h2,255.194,81,3,3000000,215.79002624671915,0.9852858945420157,0.585407,h14
h8,255.005,71,3,3000000,191.42533936651583,0.985035228501068,0.999309,h10
h3,201.684,61,2,3000000,175.73359840954274,0.984571684709116,0.546013,h14
h5,202.657,40,2,3000000,3419.144578313253,0.98908144926552,0.899218,h14
h7,253.2,72,3,3000000,2021.9722222222224,0.985203088501068,0.655475,h14
h4,252.33,71,3,3000000,1433.8439024390243,0.985203088501068,0.567879,h14
h3,201.775,48,2,3000000,1123.794007490637,0.9870472452141664,0.532526,h14
h1,253.907,63,3,3000000,924.5335365853658,0.9845375475003568,0.53049,h14
h6,255.426,78,3,3000000,384.0179948586118,0.9854566101941896,0.999765,h10
h2,252.362,72,3,3000000,685.2777777777778,0.985044928501068,0.522821,h14
h8,201.764,50,2,3000000,611.8649706457926,0.9868356900058332,0.5166,h14
h5,216.399,49,2,3000000,22506.14285714286,0.9772348186525002,0.923434,h14
h7,257.609,71,3,3000000,12539.05035971223,0.9718830425070152,0.704992,h14
h4,255.912,70,3,3000000,6974.305,0.9847921719827168,0.974765,h10
h3,201.657,52,2,3000000,6717.333333333333,0.9855204410068518,0.623386,h14
h1,253.451,76,3,3000000,5456.453416149068,0.9845578300097824,0.591482,h14
h6,254.924,71,3,3000000,3678.253263707572,0.9851996273899568,0.883731,h10
h2,252.781,76,3,3000000,3968.707207207208,0.984980151186253,0.571271,h14
h8,201.329,50,2,3000000,3495.7821782178216,0.987307188894722,0.544732,h14
h9,201.292,49,2,3000000,2512.5812720848057,0.9870692700058328,0.78022,h10
h11,202.181,48,2,3000000,2273.1180223285487,0.9872050352141664,0.718828,h10
h5,205.076,60,2,3000000,780.7105263157895,0.9849611706912588,0.965929,h14
h11,201.117,51,2,3000000,492.0948905109489,0.9857067580217064,0.89998,h10
h7,520.471,94,4,3000000,354.5,0.977847984507522,0.712088,h10
h4,255.044,77,3,3000000,299.1119691119692,0.9854541501941896,0.626467,h10
h9,201.818,50,2,3000000,252.075,0.986825990005833,0.623876,h10
h3,203.408,60,2,3000000,216.76377952755905,0.9847933106912587,0.910032,h14
h1,253.194,89,3,3000000,192.64932126696831,0.98481093416579,0.767612,h14
h6,253.283,67,3,3000000,177.60636182902584,0.9790283157626116,0.585668,h10
h2,253.887,80,3,3000000,168.4095744680851,0.9852858945420157,0.723937,h14
h8,254.258,73,3,3000000,158.1264,0.9852600451677346,0.559267,h10
h4,256.159,79,3,3000000,2697.6164383561645,0.9856240745420156,0.897422,h14
h3,203.049,52,2,3000000,1536.7238805970148,0.9861823852944335,0.642934,h14
h2,254.523,74,3,3000000,1071.3076923076924,0.9854279051677345,0.534844,h14
h5,207.977,53,2,3000000,843.921875,0.9869456177944333,0.529825,h14
h9,203.919,51,2,3000000,688.1167192429023,0.9857164580217064,0.999765,h10
h1,253.683,76,3,3000000,587.9179894179895,0.9848254522973643,0.524278,h14
h7,252.609,78,3,3000000,512.3849658314351,0.9854541501941896,0.541528,h14
h6,252.859,76,3,3000000,453.19,0.9848157522973642,0.999765,h10
h8,201.67,132,2,3000000,419.39572192513367,0.9874221000187905,0.541425,h14
