host,avgRTT,packetLoss,latency,hopCount,bandwidth,psnr,ssim_first,ssim_second,type,server
h1,339.813,0.0,74,3,10000000,55.052599,0.999765,36.282662,3,h14
h2,423.904,0.0,70,3,10000000,55.052599,0.999765,36.282662,3,h14
h3,310.613,0.0,101,4,10000000,55.055538,0.999764,36.272638,3,h10
h4,257.809,0.0,80,3,10000000,55.061942,0.999765,36.280701,3,h10
h5,205.043,0.0,48,2,10000000,55.052599,0.999765,36.282662,3,h14
h6,254.968,0.0,77,3,10000000,55.052599,0.999765,36.282662,3,h10
h1,307.744,0.0,64,5,10000000,55.052599,0.999765,36.282662,3,h14
h2,375.379,0.0,58,3,10000000,55.052599,0.999765,36.282662,3,h14
h3,310.188,0.0,95,4,10000000,55.052599,0.999765,36.282662,3,h10
h4,261.158,0.0,48,3,10000000,55.052599,0.999765,36.282662,3,h10
h5,205.423,0.0,50,2,10000000,55.052599,0.999765,36.282662,3,h14
h6,255.587,0.0,70,3,10000000,52.371195,0.999587,33.84404,3,h10
h1,9310.506,0.0,74,5,10000000,13.324526,0.546146,3.430837,3,h10
h1,,100.0,114,6,1000000,16.888661,0.750786,6.03427,3,h10
h2,,100.0,52,3,1000000,13.611088,0.628399,4.299232,3,h14
h3,3999.006,0.0,89,4,1000000,9.838351,0.490973,2.932595,3,h14
h4,,100.0,70,3,1000000,9.835775,0.51016,3.099454,3,h14
h5,8576.373,0.0,57,2,1000000,9.958071,0.502667,3.033525,3,h14
h6,,100.0,422,3,1000000,13.94577,0.597556,3.952948,3,h10
h2,,100.0,69,5,1000000,15.869357,0.682181,4.978196,3,h10
h3,,100.0,47,2,1000000,11.532306,0.499004,3.001661,3,h14
h4,9417.913,0.0,55,3,1000000,11.197899,0.447429,2.576118,3,h14
h5,8958.065,0.0,43,2,1000000,11.52434,0.452087,2.612884,3,h14
h1,,100.0,22,1,1000000,11.493701,0.447948,2.580203,3,h14
h6,,100.0,50,2,1000000,14.865415,0.620331,4.20595,3,h10
h3,,100.0,39,5,1000000,17.206658,0.746605,5.962024,3,h10
h4,6749.807,0.0,27,4,1000000,14.351428,0.599835,3.977608,3,h14
h5,,100.0,33,2,1000000,11.787196,0.447423,2.576073,3,h14
h1,7115.83,0.0,66,3,1000000,11.747861,0.437136,2.495966,3,h14
h2,,100.0,69,3,1000000,11.575766,0.436154,2.488396,3,h14
h6,10029.173,0.0,90,3,1000000,13.823309,0.588867,3.860172,3,h10
h4,9488.308,0.0,83,3,1000000,16.653357,0.720821,5.541176,3,h10
h5,9723.845,88.88888888888889,59,2,1000000,14.047414,0.595301,3.928682,3,h14
h1,,100.0,113,3,1000000,12.608356,0.457698,2.657586,3,h14
h2,9265.77,0.0,107,3,1000000,12.674375,0.460711,2.681788,3,h14
h3,9415.729,0.0,83,2,1000000,12.710048,0.463017,2.700394,3,h14
h6,9010.105,0.0,118,3,1000000,14.851384,0.595663,3.93257,3,h10
h5,,100.0,77,5,1000000,17.206715,0.761345,6.22229,3,h10
h1,,100.0,41,3,1000000,13.730843,0.596511,3.941682,3,h14
h2,10034.476,0.0,184,3,1000000,10.983455,0.460508,2.68015,3,h14
h3,,100.0,253,4,1000000,8.568634,0.432889,2.463318,3,h10
h4,,100.0,220,4,1000000,11.419827,0.470838,2.764111,3,h14
h6,,100.0,201,4,1000000,11.713233,0.479703,2.837488,3,h14
h1,,100.0,147,4,1000000,10.195517,0.523094,3.215673,3,h10
h2,,100.0,113,3,1000000,12.625391,0.534626,3.321982,3,h14
h3,4347.71,0.0,51,2,1000000,10.117026,0.565859,3.623694,3,h14
h4,,100.0,66,3,1000000,10.054763,0.510818,3.105299,3,h14
h5,,100.0,45,2,1000000,11.631648,0.483565,2.869844,3,h14
h6,,100.0,105,3,1000000,10.623317,0.523372,3.218204,3,h10
h7,,100.0,146,4,1000000,12.040328,0.507167,3.072999,3,h10
h8,8776.693,0.0,105,3,1000000,11.051553,0.490094,2.925101,3,h10
