host,avgRTT,packetLoss,latency,hopCount,bandwidth,yukOrani,psnr,ssim_first,ssim_second,type,server
h1,1898.137,0.0,66,4,3000000,2011.425,31.225948,0.98515,18.282783,3,h10
h2,2240.66,0.0,44,3,3000000,1859.1612903225807,31.225948,0.98515,18.282674,3,h14
h3,2196.294,0.0,40,2,3000000,9084.62015503876,22.700112,0.956348,13.599976,3,h14
h4,1298.732,0.0,60,3,3000000,25815.963636363635,22.301604,0.960533,14.037636,3,h14
h5,338.105,0.0,92,4,3000000,37246.2736318408,22.510259,0.958593,13.829213,3,h10
h6,256.634,0.0,71,3,3000000,44487.72268907563,22.416938,0.960884,14.076511,3,h10
h2,1937.108,0.0,59,4,3000000,8425.827160493827,29.388584,0.984393,18.066868,3,h10
h3,2316.145,0.0,47,2,3000000,9822.478723404256,30.238955,0.984626,18.132121,3,h14
h4,2306.177,0.0,66,4,3000000,14856.492307692308,22.592655,0.959095,13.88219,3,h14
h5,1186.243,0.0,46,2,3000000,30290.024096385543,22.431174,0.953867,13.359859,3,h14
h1,870.861,0.0,78,5,3000000,39741.83663366337,22.292075,0.953537,13.328924,3,h10
h6,312.704,0.0,45,4,3000000,46571.70292887029,22.557653,0.955942,13.559765,3,h10
h3,2249.213,0.0,83,4,3000000,682.1518987341772,29.36478,0.983949,17.944974,3,h10
h4,2669.806,0.0,62,3,3000000,612.4130434782609,29.366271,0.983863,17.921702,3,h14
h5,2450.508,0.0,36,2,3000000,8243.328125,22.243735,0.954964,13.464423,3,h14
h1,859.467,0.0,63,3,3000000,25055.466666666667,22.52178,0.948103,12.848587,3,h14
h2,313.058,0.0,103,4,3000000,36673.64676616916,21.424558,0.949327,12.952235,3,h10
h6,256.336,0.0,76,3,3000000,44221.85232067511,22.316506,0.946992,12.756605,3,h10
h4,1971.534,0.0,110,3,3000000,1354.9506172839506,29.200392,0.983357,17.787767,3,h10
h5,2294.022,0.0,33,2,3000000,1191.872340425532,29.21079,0.983484,17.820889,3,h14
h1,2608.164,0.0,68,3,3000000,8446.238461538462,22.359781,0.957527,13.718842,3,h14
h2,1072.998,0.0,68,3,3000000,25258.102409638555,22.285632,0.955796,13.545375,3,h14
h3,402.759,0.0,89,4,3000000,36587.86699507389,22.476859,0.958193,13.787477,3,h10
h6,264.494,0.0,70,3,3000000,44058.26359832636,22.521039,0.95464,13.433283,3,h10
h5,2120.991,0.0,100,4,3000000,3312.6455696202534,30.238475,0.984724,18.160035,3,h10
h1,2561.505,0.0,78,3,3000000,2920.1521739130435,30.425626,0.985029,18.247423,3,h14
h2,2440.738,0.0,78,3,3000000,9763.24031007752,22.284177,0.960868,14.074694,3,h14
h3,850.897,0.0,54,2,3000000,26419.76969696969,21.970984,0.954885,13.456791,3,h14
h4,274.278,0.0,77,3,3000000,37698.52736318408,22.363387,0.958497,13.819232,3,h10
h6,261.334,0.0,76,3,3000000,45085.68776371308,22.510051,0.960169,13.997736,3,h10
h1,3744.04,0.0,52,3,3000000,6482.280487804878,25.811771,0.946687,12.731694,3,h14
h2,2409.071,0.0,79,4,3000000,5636.4631578947365,29.741803,0.974456,15.927041,3,h10
h3,1555.712,0.0,86,4,3000000,11727.770992366412,22.60101,0.957002,13.665518,3,h10
h4,368.114,0.0,69,3,3000000,27773.389221556885,22.276804,0.961455,14.140298,3,h10
h5,2310.185,0.0,48,2,3000000,38746.24630541872,18.217259,0.774367,6.465977,3,h14
h6,1531.725,0.0,23,1,3000000,45792.07531380753,15.194516,0.651087,4.57283,3,h14
h7,439.31,0.0,70,3,3000000,56820.12727272727,15.047263,0.657087,4.648161,3,h14
h8,2371.668,0.0,50,2,3000000,70552.54340836013,14.753714,0.641742,4.458038,3,h14
h4,3806.569,0.0,30,3,3000000,604.5851063829788,23.636383,0.931159,11.621514,3,h10
h5,2702.099,0.0,32,2,3000000,581.1203703703703,31.424054,0.985193,18.295257,3,h14
h6,1490.934,0.0,24,1,3000000,7296.375,21.947282,0.953754,13.349215,3,h14
h7,490.157,0.0,53,3,3000000,23145.45555555556,22.146209,0.954718,13.440757,3,h14
h8,2061.652,0.0,75,3,3000000,34135.40740740741,18.206558,0.769184,6.367332,3,h10
h1,1612.691,0.0,106,4,3000000,41554.03571428572,15.092937,0.648133,4.536216,3,h10
h2,351.827,0.0,89,4,3000000,52486.36111111111,14.879579,0.651726,4.580794,3,h10
h3,2667.135,0.0,90,4,3000000,66287.98148148147,14.884664,0.65262,4.591949,3,h10
h1,3742.271,0.0,103,4,3000000,18641.060240963856,27.273681,0.965045,14.564953,3,h10
h2,2505.795,0.0,112,3,3000000,18921.577319587628,30.232414,0.984606,18.126482,3,h14
h3,1457.325,0.0,84,2,3000000,21347.894736842107,22.625558,0.954997,13.467587,3,h14
h4,440.103,0.0,112,3,3000000,35085.01775147929,22.196988,0.960723,14.058571,3,h14
h5,1997.882,0.0,110,4,3000000,43256.25853658537,21.245758,0.893881,9.742081,3,h10
h6,1063.716,0.0,83,3,3000000,49726.983402489626,19.090607,0.780479,6.585234,3,h10
h7,311.873,0.0,120,4,3000000,59933.79422382671,16.531169,0.723585,5.584385,3,h10
h4,3697.223,0.0,127,3,3000000,7269.395061728395,28.828925,0.975107,16.039233,3,h10
h5,2271.051,0.0,52,2,3000000,6471.372340425532,31.216579,0.984959,18.227164,3,h14
h6,1481.177,0.0,24,1,3000000,12303.046153846151,22.719766,0.9567,13.635103,3,h14
h7,439.621,0.0,79,3,3000000,28239.21686746988,15.79,0.729143,5.672604,3,h14
h1,2150.363,0.0,112,4,3000000,39178.70297029703,19.163203,0.863124,8.636718,3,h10
h2,1177.468,0.0,101,4,3000000,46307.23949579832,19.364516,0.788468,6.746231,3,h10
h3,318.527,0.0,112,4,3000000,57139.20802919708,16.604778,0.72152,5.552059,3,h10
h4,256.712,0.0,80,3,3000000,17143.925,50.794626,0.999563,33.594985,3,h10
h5,563.78,0.0,38,2,3000000,19252.93548387097,55.052599,0.999765,36.282662,3,h14
h6,156.088,0.0,19,1,3000000,21663.81395348837,55.052599,0.999765,36.282662,3,h14
h1,259.295,0.0,72,3,3000000,731.7662337662338,55.052599,0.999765,36.282662,3,h14
h2,669.875,0.0,116,4,3000000,712.6373626373627,55.052599,0.999765,36.282662,3,h10
h6,256.205,0.0,77,3,3000000,8439.188976377953,55.052599,0.999765,36.282662,3,h10
h1,465.311,0.0,95,7,3000000,17553.829545454544,55.052599,0.999765,36.282662,3,h10
h2,2333.495,0.0,65,3,3000000,17398.90099009901,30.425817,0.985029,18.247423,3,h14
h3,2215.709,0.0,54,2,3000000,20053.430656934303,21.902388,0.955368,13.50355,3,h14
h4,2024.303,0.0,78,3,3000000,33727.10404624278,22.241839,0.960238,14.005287,3,h14
h5,396.784,0.0,41,5,3000000,1328.0736842105264,55.052599,0.999765,36.282662,3,h14
h6,678.717,0.0,72,3,3000000,1182.2592592592594,55.052599,0.999765,36.282662,3,h10
h3,,100.0,13,1,3000000,7591.284722222223,55.052599,0.999765,36.282662,3,h14
h4,276.496,0.0,85,3,3000000,17953.50276243094,55.052599,0.999765,36.282662,3,h10
h1,323.383,0.0,358,4,3000000,8324.75796178344,55.052599,0.999765,36.282662,3,h10
h2,346.986,0.0,125,3,3000000,8081.85294117647,55.052599,0.999765,36.282662,3,h14
h1,259.778,0.0,76,3,3000000,2684.3636363636365,55.052599,0.999765,36.282662,3,h14
h6,398.989,0.0,64,3,3000000,2820.5049504950493,55.052599,0.999765,36.282662,3,h10
h1,263.597,0.0,32,3,3000000,5468.385542168675,55.052599,0.999765,36.282662,3,h14
h2,256.527,0.0,37,3,3000000,3219.6136363636365,55.052599,0.999765,36.282662,3,h14
h1,375.364,0.0,78,5,5000000,14010.024390243903,55.052599,0.999765,36.282662,3,h10
h2,527.215,0.0,67,3,5000000,12138.757894736842,48.375107,0.998643,28.673475,3,h14
h3,206.868,0.0,65,2,5000000,16453.236641221374,55.052599,0.999765,36.282662,3,h14
h4,358.824,0.0,84,5,5000000,31684.011976047903,46.601503,0.996829,24.987798,3,h14
h5,586.651,0.0,98,4,5000000,41606.89705882353,43.933281,0.994782,22.825132,3,h10
h6,312.884,0.0,73,3,5000000,48290.5625,55.052599,0.999765,36.282662,3,h10
h2,355.32,0.0,85,5,5000000,5266.317647058823,55.052599,0.999765,36.282662,3,h10
h3,472.424,0.0,43,2,5000000,4630.673469387755,55.052599,0.999765,36.282662,3,h14
h4,343.289,0.0,67,3,5000000,10754.932835820897,55.052599,0.999765,36.282662,3,h14
h5,274.193,0.0,47,2,5000000,26656.26470588236,55.052599,0.999765,36.282662,3,h14
h1,593.54,0.0,103,4,5000000,37622.50970873787,55.052599,0.999765,36.282662,3,h10
h6,310.728,0.0,78,3,5000000,44847.14462809917,55.052599,0.999765,36.282662,3,h10
h3,345.485,0.0,102,5,5000000,5445.578313253012,55.052599,0.999765,36.282662,3,h10
h4,549.474,0.0,78,4,5000000,4744.319587628866,55.052599,0.999765,36.282662,3,h14
h5,208.032,0.0,54,2,5000000,10960.015037593985,55.052599,0.999765,36.282662,3,h14
h1,255.651,0.0,82,3,5000000,27014.24852071005,55.052599,0.999765,36.282662,3,h14
h2,620.082,0.0,102,4,5000000,37873.53170731707,55.052599,0.999765,36.282662,3,h10
h6,337.995,0.0,74,3,5000000,45075.72614107884,55.052599,0.999765,36.282662,3,h10
h4,284.153,0.0,83,3,5000000,614.3928571428571,55.052599,0.999765,36.282662,3,h14
h5,667.744,0.0,89,4,5000000,540.5360824742268,55.052599,0.999765,36.282662,3,h10
h1,310.638,0.0,90,4,5000000,7904.556390977444,55.052599,0.999765,36.282662,3,h10
h2,308.666,0.0,88,4,5000000,24482.970414201183,55.052599,0.999765,36.282662,3,h10
h3,499.06,0.0,144,2,5000000,36041.42439024391,55.061942,0.999765,36.280701,3,h14
h6,261.904,0.0,72,1,5000000,43331.26446280992,55.052599,0.999765,36.282662,3,h14
h5,324.047,0.0,73,4,5000000,1808.7325581395348,55.052599,0.999765,36.282662,3,h10
h1,570.178,0.0,51,4,5000000,1902.07,55.052599,0.999765,36.282662,3,h14
h2,339.918,0.0,58,3,5000000,8709.036764705883,54.959611,0.999754,36.083283,3,h14
h3,205.329,0.0,48,2,5000000,24812.29651162791,54.959859,0.999756,36.124719,3,h14
h4,543.55,0.0,79,3,5000000,35964.466346153844,55.052599,0.999765,36.282662,3,h10
h6,331.413,0.0,73,3,5000000,43383.88114754098,55.052599,0.999765,36.282662,3,h10
h1,2118.248,0.0,126,3,5000000,10258.35,49.115488,0.999134,30.624209,3,h14
h2,527.699,0.0,186,4,5000000,9002.322580645161,55.052599,0.999765,36.282662,3,h10
h3,316.562,0.0,110,4,5000000,14249.496124031008,55.052599,0.999765,36.282662,3,h10
h4,261.104,0.0,78,3,5000000,29974.98787878788,55.052599,0.999765,36.282662,3,h10
h5,2405.142,0.0,57,2,5000000,40436.23383084577,22.623231,0.964857,14.54156,3,h14
h6,1531.549,0.0,31,1,5000000,47259.72573839663,22.046787,0.933663,11.782452,3,h14
h7,464.62,0.0,81,3,5000000,60073.36263736264,21.328477,0.891909,9.662111,3,h14
h8,206.529,0.0,55,2,5000000,76564.24595469255,20.743992,0.878404,9.150815,3,h14
h4,1921.309,0.0,35,5,5000000,40191.833333333336,35.007787,0.986783,18.788773,3,h10
h5,459.375,0.0,16,2,5000000,36091.89908256881,55.052599,0.999765,36.282662,3,h14
h6,236.97,0.0,13,1,5000000,34007.28275862069,55.052599,0.999765,36.282662,3,h14
h7,265.791,0.0,59,3,5000000,44336.66298342541,45.799768,0.998292,27.675662,3,h14
h8,2322.122,0.0,68,3,5000000,51206.536697247706,21.870074,0.949839,12.996379,3,h10
h1,1967.759,0.0,94,4,5000000,56152.29527559055,22.514689,0.937322,12.028876,3,h10
h2,502.717,0.0,95,4,5000000,67170.22413793103,20.871706,0.894889,9.783515,3,h10
h3,326.194,0.0,102,4,5000000,82108.48773006134,20.862167,0.882939,9.315866,3,h10
h1,363.832,0.0,51,3,5000000,12524.443181818182,55.052599,0.999765,36.282662,3,h14
h2,574.49,0.0,64,5,5000000,10932.09900990099,55.052599,0.999765,36.282662,3,h10
h3,307.856,0.0,72,4,5000000,15382.576642335767,55.052599,0.999765,36.282662,3,h10
h4,257.007,0.0,76,3,5000000,30006.445086705204,55.052599,0.999765,36.282662,3,h10
h5,742.619,0.0,48,2,5000000,44833.40669856459,29.250679,0.982197,17.495163,3,h14
h6,524.261,0.0,20,1,5000000,50828.204081632655,22.550243,0.954097,13.38161,3,h14
h7,520.715,0.0,72,3,5000000,62635.92907801418,22.812361,0.955355,13.502282,3,h14
h4,381.384,0.0,79,3,5000000,638.9036144578313,55.052599,0.999765,36.282662,3,h14
h5,583.784,0.0,100,4,5000000,571.3020833333334,55.052599,0.999765,36.282662,3,h10
h6,280.081,0.0,76,3,5000000,8016.515151515152,55.052599,0.999765,36.282662,3,h10
h7,301.771,0.0,98,4,5000000,24691.14285714286,55.052599,0.999765,36.282662,3,h10
h1,785.154,0.0,68,3,5000000,35939.88292682927,27.371084,0.979243,16.828394,3,h14
h2,700.04,0.0,68,3,5000000,43399.03734439834,22.107407,0.956015,13.56695,3,h14
h3,418.564,0.0,46,2,5000000,56579.10469314079,21.928652,0.954823,13.450858,3,h14
h4,360.512,0.0,36,3,5000000,14809.39534883721,55.052599,0.999765,36.282662,3,h14
h5,422.555,0.0,84,4,5000000,13982.41414141414,55.052599,0.999765,36.282662,3,h10
h6,254.521,0.0,79,3,5000000,18017.896296296298,52.864317,0.999519,33.18025,3,h10
h1,306.566,0.0,64,4,5000000,1295.0618556701031,55.052599,0.999765,36.282662,3,h10
h2,406.777,0.0,63,3,5000000,1326.0,55.052599,0.999765,36.282662,3,h14
h6,154.032,0.0,25,1,5000000,7727.367346938776,55.052599,0.999765,36.282662,3,h14
h1,311.004,0.0,91,4,5000000,18770.34523809524,55.052599,0.999765,36.282662,3,h10
h2,578.1,0.0,68,3,5000000,16429.618556701033,55.052599,0.999765,36.282662,3,h14
h3,314.042,0.0,51,2,5000000,19559.2030075188,51.630444,0.999326,31.713501,3,h14
h4,255.799,0.0,73,3,5000000,33540.78823529412,55.052599,0.999765,36.282662,3,h14
h5,310.676,0.0,93,4,5000000,1149.4831460674156,55.046053,0.999764,36.271784,3,h10
h6,478.387,0.0,20,1,5000000,1004.6078431372548,55.052599,0.999765,36.282662,3,h14
h3,208.201,0.0,60,2,5000000,7987.528985507246,55.052599,0.999765,36.282662,3,h14
h4,256.918,0.0,86,3,5000000,23888.82857142857,55.052599,0.999765,36.282662,3,h14
h1,305.817,0.0,92,4,5000000,1432.3253012048192,55.052599,0.999765,36.282662,3,h10
h2,277.781,0.0,52,3,5000000,1302.125,55.052599,0.999765,36.282662,3,h14
h1,310.264,0.0,89,4,5000000,487.1071428571428,34.099067,0.995908,23.880323,3,h10
h6,187.466,0.0,29,1,5000000,1307.6907216494844,55.052599,0.999765,36.282662,3,h14
h1,308.581,0.0,97,4,5000000,904.0934579439252,55.052599,0.999765,36.282662,3,h10
h2,516.77,0.0,35,8,5000000,5536.322916666667,55.052599,0.999765,36.282662,3,h14
h3,1962.39,0.0,62,4,5000000,16994.55421686747,43.174065,0.997508,26.034357,3,h10
h1,495.392,0.0,63,3,5000000,14747.041666666666,55.052599,0.999765,36.282662,3,h14
h6,206.967,0.0,20,1,5000000,18328.909090909092,55.052599,0.999765,36.282662,3,h14
h7,342.871,0.0,60,3,5000000,33000.70238095238,55.052599,0.999765,36.282662,3,h14
h2,2379.606,0.0,86,4,5000000,43224.10294117647,24.253919,0.969434,15.147589,3,h10
h8,1767.252,0.0,68,3,5000000,49763.479166666664,22.774724,0.940439,12.250408,3,h10
h5,491.958,0.0,76,4,5000000,62056.45487364621,21.379025,0.902364,10.103899,3,h10
h4,252.823,0.0,72,3,5000000,78417.94888178914,21.006246,0.886712,9.458145,3,h10
