host,avgRTT,packetLoss,latency,hopCount,bandwidth,yukOrani,gelenPaket,gidenPaket,psnr,ssim_first,ssim_second,type,server
h4,348.468,0.0,12,3,10000000,5601.534090909091,5154,487781,15.309531,0.653652,4.604874,3,h14
h3,473.868,0.0,66,4,10000000,4883.722772277228,4776,488480,28.723997,0.979157,16.810389,3,h10
h2,413.748,0.0,93,5,10000000,10977.04347826087,1015116,499716,27.242306,0.972034,15.533657,3,h10
h5,309.534,0.0,84,4,10000000,27046.735632183907,4192194,513938,9.995411,0.557415,3.540036,3,h10
h9,457.268,0.0,73,3,10000000,38507.76190476191,7507644,578986,31.829885,0.987984,19.202539,3,h14
h1,270.254,0.0,72,3,10000000,61900.16260162602,10680042,4547398,12.848797,0.490093,2.925089,3,h14
h7,261.603,0.0,77,3,10000000,102075.25531914894,15974956,12810266,12.281426,0.473176,2.783343,3,h14
h6,157.805,0.0,20,1,10000000,158984.88679245283,23456940,27100254,27.682318,0.976816,16.348087,3,h14
h8,,100.0,22,1,10000000,217867.6101694916,75827877,1297257,30.389,0.983414,17.802498,3,h10
h1,326.205,0.0,38,4,10000000,13440.602409638554,4902,1110668,35.14229,0.994017,22.230523,3,h10
h2,610.86,0.0,48,3,10000000,12256.15625,5112,1171479,37.082305,0.995855,23.824568,3,h14
h3,207.742,0.0,39,2,10000000,16515.60606060606,998780,1181280,32.926995,0.989547,19.807705,3,h14
h4,260.842,0.0,67,3,10000000,32061.875,4192572,1193823,28.298451,0.977792,16.534839,3,h14
h5,646.2,0.0,94,4,10000000,42516.40196078432,7505324,1168022,33.943798,0.991915,20.923147,3,h10
h6,432.315,0.0,70,3,10000000,49505.30833333333,10679832,1201442,25.356893,0.973403,15.751696,3,h10
h7,324.239,0.0,106,4,10000000,62566.307971014496,16020250,1248051,25.141106,0.964584,14.508014,3,h10
h8,262.753,0.0,86,3,10000000,79346.84935897436,23456136,1300081,25.626036,0.963703,14.401275,3,h10
h9,213.245,0.0,47,2,10000000,98759.59025787964,33105892,1361205,21.920098,0.941794,12.3503,3,h10
